json_file,gimbal_yaw,gimbal_yaw_360,flight_yaw,flight_yaw_360,error
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135612_0358_T.JPG.json,-99.9,260.1,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135621_0365_T.JPG.json,-92.3,267.7,-93.4,266.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135622_0366_T.JPG.json,-87.9,272.1,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135626_0369_T.JPG.json,-87.4,272.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135627_0370_T.JPG.json,-87.4,272.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135628_0371_T.JPG.json,-87.4,272.6,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135630_0372_T.JPG.json,-87.5,272.5,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135631_0373_T.JPG.json,92.5,92.5,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135632_0374_T.JPG.json,92.5,92.5,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135633_0375_T.JPG.json,92.5,92.5,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135637_0378_T.JPG.json,-87.5,272.5,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135638_0379_T.JPG.json,92.5,92.5,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135639_0380_T.JPG.json,92.6,92.6,-90.4,269.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135641_0381_T.JPG.json,-103.6,256.4,-112.2,247.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135642_0382_T.JPG.json,153.7,153.7,155.9,155.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135643_0383_T.JPG.json,85.7,85.7,92.3,92.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135644_0384_T.JPG.json,82.4,82.4,90.3,90.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135646_0385_T.JPG.json,82.1,82.1,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135650_0389_T.JPG.json,-98.1,261.9,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135652_0390_T.JPG.json,81.8,81.8,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135653_0391_T.JPG.json,-98.2,261.8,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135654_0392_T.JPG.json,-98.2,261.8,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135655_0393_T.JPG.json,-98.2,261.8,89.9,89.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135657_0394_T.JPG.json,-98.3,261.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135700_0397_T.JPG.json,81.7,81.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135707_0402_T.JPG.json,-89.0,271.0,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135710_0405_T.JPG.json,-88.4,271.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135711_0406_T.JPG.json,-88.4,271.6,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135713_0407_T.JPG.json,-88.3,271.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135714_0408_T.JPG.json,-88.3,271.7,-90.0,270.0,
